segment,region,company_name,website,email,phone,target_title,source_url,notes,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29,extra_col_30,extra_col_31,extra_col_32,extra_col_33,extra_col_34,extra_col_35,extra_col_36,extra_col_37,extra_col_38,extra_col_39,extra_col_40,extra_col_41,business_category,business_type,business_group
Front-office staff at semi-pro sports teams,Northeast,Mill City Eagles,https://www.millcityeagles.com,info@millcityeagles.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,New England Black Panthers,https://www.newenglandblackpanthers.com,info@newenglandblackpanthers.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,New England Bombers,https://www.newenglandbombers.com,info@newenglandbombers.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,New London County Silverbacks,https://www.newlondoncountysilverbacks.com,info@newlondoncountysilverbacks.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Rhode Island Raptors,https://www.rhodeislandraptors.com,info@rhodeislandraptors.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Rhode Island Riptide,https://www.rhodeislandriptide.com,info@rhodeislandriptide.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Southern Vermont Storm,https://www.southernvermontstorm.com,info@southernvermontstorm.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Vermont Ravens,https://www.vermontravens.com,info@vermontravens.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Windsor Flyers,https://www.windsorflyers.com,info@windsorflyers.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Worcester Wildcats,https://www.worcesterwildcats.com,info@worcesterwildcats.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Southeast,North Louisiana Football Alliance,nlfafootball.com,info@nlfafootball.com,,Front Office Manager,https://www.nlfafootball.com/,Found email and website from search results.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Southeast,The Force,theforcefootball.com,thesojaforce@gmail.com,,Front Office Manager,https://www.facebook.com/TheForceFootball/,Found email and website on Facebook page.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Texas,North Texas Rams,https://northtexasramsfootball.com/,northtxrams@gmail.com,,Front Office Staff,https://northtexasramsfootball.com/,Contact information found on the website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Midwest,First City Football Club,https://www.firstcityfootballclub.com/,1citytraining@gmail.com,,General Contact (via Training Center),https://www.firstcityfootballclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Southeast,Alabama Chargers Semi-Pro Football Organization,,josh_mont21@yahoo.com,(256) 770-6293,Front Office Manager,https://www.facebook.com/p/Alabama-Chargers-Semi-Pro-Football-Organization-100086982715868/,Found email and phone number on Facebook page.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
